,date,stock_id,Trading_Volume,Trading_money,open,max,min,close,spread,Trading_turnover
0,2012-01-02,1529,44006,135170,3.1,3.1,3.06,3.06,-0.21,21
1,2012-01-03,1529,91100,272874,3.0,3.02,2.96,3.0,-0.06,23
2,2012-01-04,1529,0,0,0.0,0.0,0.0,0.0,0.0,0
3,2012-01-05,1529,53000,153340,3.05,3.05,2.77,2.85,0.0,25
4,2012-01-06,1529,710012,2017895,2.8,2.99,2.8,2.99,0.14,18
5,2012-01-09,1529,0,0,0.0,0.0,0.0,0.0,0.0,0
6,2012-01-10,1529,124000,342860,2.85,2.85,2.75,2.85,0.0,23
7,2012-01-11,1529,23000,61350,2.67,2.67,2.66,2.66,-0.19,14
8,2012-01-12,1529,88000,229800,2.6,2.66,2.55,2.66,0.0,19
9,2012-01-13,1529,48050,127026,2.66,2.66,2.6,2.62,-0.04,8
10,2012-01-16,1529,54244,145062,2.63,2.72,2.63,2.69,0.07,10
11,2012-01-17,1529,110000,304870,2.77,2.79,2.75,2.78,0.09,12
12,2012-01-18,1529,37000,103740,2.79,2.82,2.79,2.82,0.04,5
13,2012-01-30,1529,106024,306908,2.8,2.96,2.8,2.96,0.14,18
14,2012-01-31,1529,105002,316476,2.97,3.08,2.97,3.07,0.11,27
15,2012-02-01,1529,245102,764887,2.89,3.21,2.89,3.11,0.04,49
16,2012-02-02,1529,180000,590970,3.23,3.31,3.23,3.31,0.2,26
17,2012-02-03,1529,144100,459712,3.1,3.22,3.1,3.2,-0.11,17
18,2012-02-04,1529,70000,229920,3.25,3.3,3.24,3.25,0.05,21
19,2012-02-06,1529,78001,258253,3.1,3.47,3.1,3.47,0.22,19
20,2012-02-07,1529,235001,784893,3.4,3.4,3.24,3.3,-0.17,32
21,2012-02-08,1529,5000,16670,3.3,3.36,3.3,3.35,0.05,3
22,2012-02-09,1529,215002,673816,3.14,3.29,3.12,3.29,-0.06,47
23,2012-02-10,1529,25000,78420,3.09,3.19,3.09,3.19,-0.1,14
24,2012-02-13,1529,129965,391824,3.02,3.18,3.0,3.0,-0.19,33
25,2012-02-14,1529,62282,185488,2.9,3.0,2.9,2.94,-0.06,19
26,2012-02-15,1529,90000,271990,2.98,3.07,2.91,2.91,-0.03,60
27,2012-02-16,1529,41004,121132,3.0,3.0,2.9,2.9,-0.01,27
28,2012-02-17,1529,25008,74143,3.0,3.0,2.9,2.98,0.08,15
29,2012-02-20,1529,153000,428750,2.78,2.95,2.78,2.79,-0.19,51
30,2012-02-21,1529,25850,72007,2.79,2.83,2.75,2.82,0.03,12
31,2012-02-22,1529,86068,233131,2.8,2.8,2.69,2.73,-0.09,35
32,2012-02-23,1529,34090,91366,2.6,2.75,2.6,2.72,-0.01,32
33,2012-02-24,1529,5000,13390,2.67,2.71,2.67,2.71,-0.01,5
34,2012-02-29,1529,14001,38002,2.72,2.72,2.7,2.7,-0.01,8
35,2012-03-01,1529,38000,104270,2.75,2.75,2.71,2.75,0.05,22
36,2012-03-02,1529,84002,232844,2.68,2.82,2.68,2.8,0.05,32
37,2012-03-03,1529,39000,106620,2.7,2.78,2.7,2.72,-0.08,30
38,2012-03-05,1529,71100,199450,2.79,2.84,2.73,2.76,0.04,23
39,2012-03-06,1529,25001,67432,2.76,2.76,2.63,2.75,-0.01,13
40,2012-03-07,1529,0,0,0.0,0.0,0.0,0.0,0.0,0
41,2012-03-08,1529,14001,38802,2.78,2.78,2.76,2.76,0.0,9
42,2012-03-09,1529,100469,273647,2.72,2.76,2.7,2.7,-0.06,40
43,2012-03-12,1529,81002,218304,2.7,2.7,2.67,2.67,-0.03,20
44,2012-03-13,1529,67001,175662,2.6,2.71,2.6,2.71,0.04,15
45,2012-03-14,1529,40342,105936,2.87,2.87,2.62,2.62,-0.09,24
46,2012-03-15,1529,234004,615668,2.75,2.75,2.62,2.69,0.07,34
47,2012-03-16,1529,81000,213290,2.65,2.65,2.58,2.65,-0.04,27
48,2012-03-19,1529,84001,218862,2.6,2.63,2.6,2.63,-0.02,24
49,2012-03-20,1529,32000,84740,2.65,2.65,2.62,2.62,-0.01,14
50,2012-03-21,1529,9202,24021,2.61,2.61,2.61,2.61,-0.01,7
51,2012-03-22,1529,142690,389815,2.62,2.79,2.62,2.78,0.17,47
52,2012-03-23,1529,79014,225240,2.78,2.9,2.72,2.9,0.12,21
53,2012-03-26,1529,83000,238580,2.8,2.95,2.73,2.95,0.05,17
54,2012-03-27,1529,10000,27900,2.9,2.9,2.76,2.76,-0.19,8
55,2012-03-28,1529,2999,8306,2.77,2.77,2.77,2.77,0.01,5
56,2012-03-29,1529,22000,61720,2.82,2.82,2.65,2.65,-0.12,18
57,2012-03-30,1529,23001,62102,2.7,2.7,2.7,2.7,0.05,3
58,2012-04-02,1529,29003,81088,2.7,2.85,2.7,2.84,0.14,14
59,2012-04-03,1529,20310,57164,2.82,2.83,2.8,2.8,-0.04,12
60,2012-04-05,1529,29051,79486,2.9,2.9,2.67,2.86,0.06,23
61,2012-04-06,1529,10003,28109,2.78,2.83,2.78,2.83,-0.03,10
62,2012-04-09,1529,2397,6855,2.86,2.86,2.86,2.86,0.03,2
63,2012-04-10,1529,24006,66365,2.68,2.82,2.68,2.8,-0.06,20
64,2012-04-11,1529,8000,22220,2.78,2.78,2.77,2.77,-0.03,5
65,2012-04-12,1529,24000,64970,2.73,2.74,2.68,2.68,-0.09,19
66,2012-04-13,1529,37023,97662,2.69,2.69,2.61,2.62,-0.06,30
67,2012-04-16,1529,8667,22584,2.61,2.61,2.6,2.6,-0.02,5
68,2012-04-17,1529,4002,10414,2.61,2.61,2.6,2.6,0.0,5
