date,open,max,min,close,adj close,volumn
2012-01-02,3.5936739444732666,3.5936739444732666,3.5936739444732666,3.5936739444732666,3.3371317386627197,0
2012-01-03,3.5936739444732666,3.5936739444732666,3.5936739444732666,3.5936739444732666,3.3371317386627197,0
2012-01-04,3.5936739444732666,3.5936739444732666,3.5936739444732666,3.5936739444732666,3.3371317386627197,0
2012-01-05,3.5936739444732666,3.5936739444732666,3.5936739444732666,3.5936739444732666,3.3371317386627197,0
2012-01-06,3.629254102706909,3.6826260089874268,3.629254102706909,3.664834976196289,3.4032135009765625,210787
2012-01-09,3.700416088104248,3.8249499797821045,3.700416088104248,3.7182068824768066,3.452775001525879,345690
2012-01-10,3.700416088104248,3.735996961593628,3.629254102706909,3.629254102706909,3.3701722621917725,567719
2012-01-11,3.629254102706909,3.6470448970794678,3.611464023590088,3.6470448970794678,3.386693239212036,191113
2012-01-12,3.629254102706909,3.6470448970794678,3.611464023590088,3.629254102706909,3.3701722621917725,168629
2012-01-13,3.629254102706909,3.629254102706909,3.5936739444732666,3.629254102706909,3.3701722621917725,179871
2012-01-16,3.629254102706909,3.629254102706909,3.5936739444732666,3.5936739444732666,3.3371317386627197,92746
2012-01-17,3.5936739444732666,3.6826260089874268,3.5936739444732666,3.6470448970794678,3.386693239212036,227650
2012-01-18,3.664834976196289,3.700416088104248,3.6470448970794678,3.664834976196289,3.4032135009765625,399090
2012-01-30,3.6826260089874268,3.771578073501587,3.6826260089874268,3.735996961593628,3.469294786453247,503078
2012-01-31,3.771578073501587,3.9139020442962646,3.771578073501587,3.9139020442962646,3.6344997882843018,548046
2012-02-01,3.9139020442962646,4.0206451416015625,3.9139020442962646,4.002853870391846,3.717101812362671,373795
2012-02-02,4.0206451416015625,4.127388000488281,4.0206451416015625,4.109597206115723,3.816225051879883,314775
2012-02-03,4.145177841186523,4.145177841186523,4.002853870391846,4.038434982299805,3.750142812728882,562098
2012-02-06,4.091806888580322,4.091806888580322,4.0206451416015625,4.056225776672363,3.7666640281677246,196734
2012-02-07,4.038434982299805,4.056225776672363,3.9850640296936035,3.9850640296936035,3.7005817890167236,393469
2012-02-08,3.9850640296936035,4.091806888580322,3.9850640296936035,4.056225776672363,3.7666640281677246,247323
